,markowitz,black_litterman,equal_weight
2019-06-28,1.0000000000000007,1.0,1.0
2019-09-26,1.1736772639356396,0.06430821633894711,0.06507291233836165
2019-12-31,0.5946133580087761,0.11471662893740615,0.1143032759162658
2020-04-08,1.1042901009301946,0.14360820781787642,0.14488785805851767
2020-07-13,0.5740187350718019,0.1484874446974847,0.14939435308147203
2020-10-16,0.9079324542809071,0.1331335158619236,0.13389252404162288
2021-01-14,0.6551140707232759,0.12160778613664572,0.12211953947285357
2021-04-21,0.5205563745682502,0.11086008176713782,0.11043196229737869
2021-07-23,0.4134598871896548,0.21134475060162744,0.21169875147117986
2021-10-29,0.5808459523127532,0.1440735548032442,0.14336756989039595
2022-01-27,0.7261792465337797,0.0874608956231473,0.08728056406056756
2022-05-10,1.999999999999973,0.10883104741130101,0.1082825303277459
2022-08-08,1.3463269545729934e-14,0.13344570273536277,0.13348720751414023
2022-11-11,4.946192001136387e-15,0.11533897142963515,0.11493187355273848
2023-02-16,1.309543567477296,0.06686957195824934,0.06741097309602068
2023-05-22,1.5327734959334174,0.09299331266186044,0.09285302010207823
2023-08-21,1.4855332987425856,0.06151947487320915,0.062296461080178236
2023-11-24,1.7885257507912478,0.07164345630071128,0.07106045904714306
2024-03-01,0.4855719229453752,0.10591321391557447,0.10300065955176158
2024-06-05,0.41065145877841963,0.08365822798096575,0.08670944706608313
2024-09-03,0.35807357908558946,0.09440643737290903,0.09474819855165327
2024-12-10,0.7297910190132133,0.2594265022806083,0.26014835676369497
