,000651.SZ,000333.SZ,000858.SZ,002594.SZ,300750.SZ,600276.SS,600309.SS,300059.SZ
2019-06-28,0.12491414661008819,0.12453525051265445,0.12544387856965955,0.12465182778454834,0.1251754280654546,0.12481331348292629,0.12507716224289445,0.12538899273177415
2019-09-26,0.12485821288026583,0.12434581223841691,0.12557482975384443,0.1246570698074575,0.1248318140165924,0.12468206241639365,0.12525103445942626,0.12579916442760303
2019-12-31,0.12498354053407346,0.12451060878970173,0.1256514033403,0.12462461639396483,0.12449208767468141,0.1244093209487055,0.12512155457949928,0.1262068677390738
2020-04-08,0.12504059070559337,0.12446600631374995,0.12536066168906973,0.1252408266990644,0.12510236484334378,0.12407910856770196,0.12482769808416443,0.12588274309731243
2020-07-13,0.1245711335464885,0.12449585437939162,0.12504322958401481,0.12529941808513453,0.12568508799707143,0.1240905704048477,0.1247867777462251,0.1260279282568263
2020-10-16,0.12440454418675193,0.12447992122615903,0.12492634652939213,0.1256027969855741,0.12578868972949037,0.1240441544991191,0.12484148995026227,0.12591205689325102
2021-01-14,0.12423890168301993,0.12448373738486311,0.12488101144447199,0.12584575841951004,0.12582723697094117,0.12401227111377727,0.12485458588046318,0.12585649710295332
2021-04-21,0.12378555285717074,0.12451153815280089,0.12503043584288948,0.12602705711078788,0.12589754878186868,0.12406722800489814,0.12487602692622733,0.12580461232335682
2021-07-23,0.12366519730866823,0.12445661718301171,0.12497184444645162,0.1262546267379867,0.12595118615540993,0.12410592694113944,0.12480848943191244,0.1257861117954199
2021-10-29,0.12363957660797159,0.12452826362110764,0.12527095518357656,0.1261443913665594,0.12577412704652993,0.12435111152935507,0.1246536022380167,0.12563797240688312
2022-01-27,0.12356144027235572,0.12452965344902088,0.12549589666858343,0.12610172658920835,0.12574510260992056,0.12431063073192085,0.1246479000206401,0.12560764965835014
2022-05-10,0.12377229253886984,0.12471887768818009,0.1253559376766521,0.12579825652399604,0.1256669058826237,0.12458061787637635,0.12428759879270278,0.1258195130205991
2022-08-08,0.12396185725894086,0.12481382504512951,0.12538104661712188,0.12549109586019264,0.12575582722172363,0.12478593812733174,0.12434548856822969,0.12546492130133005
2022-11-11,0.12392739338556058,0.12483034757149421,0.12513639489234984,0.1254962392976844,0.12597552369867637,0.12462784202306926,0.12427493633828246,0.12573132279288288
2023-02-16,0.12402777957898249,0.1249485918990405,0.12532787853054003,0.1251621963359621,0.12577640681022442,0.12463439428072295,0.12427949327835577,0.1258432592861717
2023-05-22,0.12410256391395244,0.12488746076482864,0.12539262490031197,0.12495061751718178,0.125668109103495,0.12450222930936881,0.12429933610004143,0.12619705839082
2023-08-21,0.12450083233646739,0.1252181816170408,0.12580516912954257,0.12471204926407606,0.12495090686422232,0.12401400044358848,0.12400007852285533,0.12679878182220705
2023-11-24,0.12468688664461362,0.1252227470703086,0.12584503226595667,0.12444153661499963,0.12496846341061657,0.1238198840503133,0.12420734242521957,0.12680810751797206
2024-03-01,0.12415139666877212,0.12427423759501956,0.12538095315934467,0.1252652989391135,0.12546152415683265,0.12445783378910685,0.12447385941990936,0.1265348962719013
2024-06-05,0.12339947115141378,0.12332753478524659,0.12568703442802026,0.12579122569318238,0.1267045990805446,0.12465377686548015,0.12439310228220313,0.1260432557139091
2024-09-03,0.12319803745631867,0.12315995669473868,0.1253152222202308,0.1259854476808268,0.1266712019969456,0.12497843494819866,0.12493197736583686,0.12575972163690388
2024-12-10,0.1239452017449035,0.12367598329870498,0.1251409926407623,0.12484396747554627,0.12618434553014798,0.12470219799621028,0.12457824699516482,0.12692906431855983
