,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,ITC.NS,LT.NS
2009-01-14,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2009-04-23,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2009-07-22,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2009-10-23,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2010-01-27,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2010-05-03,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2010-07-29,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2010-10-27,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2011-01-28,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2011-05-03,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2011-07-29,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2011-11-03,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2012-02-06,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2012-05-10,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2012-08-07,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2012-11-12,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2013-02-13,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2013-05-20,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2013-08-19,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2013-11-21,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2014-02-19,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2014-05-27,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2014-08-26,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2014-12-03,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2015-03-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2015-06-09,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2015-09-04,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2015-12-11,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2016-03-14,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2016-06-16,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2016-09-19,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2016-12-21,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2017-03-23,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2017-06-23,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2017-09-25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2017-12-26,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-03-28,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-06-28,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-10-01,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2019-01-03,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2019-04-08,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2019-07-11,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2019-10-16,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-01-16,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-04-22,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-07-22,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-10-20,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-01-19,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-04-26,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-07-26,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-10-26,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-01-25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-04-29,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-07-28,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-11-01,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2023-01-31,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2023-05-08,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2023-08-04,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2023-11-07,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2024-02-09,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2024-05-16,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2024-08-19,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2024-11-18,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
